a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,r18
0,,weapon_pistol,WEAPON_NULL,weapon_null,,menu_mp_lobby_none_selected,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,weapon_pistol,WEAPON_KARD,kard,,menu_mp_weapons_kard,WEAPON_KARD_DESC,reflex_pistol extclip steadyaim extbarrel fmj dualclip silencer_shotgun tacknife dw,5,42,class_sniper dw,1,secondary,,,,1,
3,,weapon_pistol,WEAPON_FNP45,fnp45,,menu_mp_weapons_fnp45,WEAPON_FNP45_DESC,reflex_pistol extclip steadyaim extbarrel fmj dualclip silencer_shotgun tacknife dw,2,3,,1,secondary,,,,1,
4,,weapon_pistol,WEAPON_BERETTA93R,beretta93r,,menu_mp_weapons_baretta,WEAPON_BERETTA93R_DESC,reflex_pistol extclip_b23r steadyaim extbarrel fmj dualclip silencer_shotgun tacknife  dw,3,18,class_smg steadyaim,1,secondary,,,,1,
5,,weapon_pistol,WEAPON_JUDGE,judge,,menu_mp_weapons_judge,WEAPON_JUDGE_DESC,reflex_pistol steadyaim extbarrel fmj dualclip_judge silencer_shotgun tacknife dw,4,30,,1,secondary,,,,1,
6,,weapon_pistol,WEAPON_FIVESEVEN,fiveseven,,menu_mp_weapons_five_seven,WEAPON_FIVESEVEN_DESC,reflex_pistol extclip_sig steadyaim extbarrel fmj dualclip silencer_shotgun tacknife dw,1,3,class_custom_smg class_custom_sniper,1,secondary,,,,,
7,,weapon_pistol,WEAPON_KARD_DW,kard_dw,,menu_mp_weapons_kard,WEAPON_KARD_DW_DESC,,,,,-1,secondary,,,,,
8,,weapon_pistol,WEAPON_FNP45_DW,fnp45_dw,,menu_mp_weapons_fnp45,WEAPON_FNP45_DW_DESC,,,,,-1,secondary,,,,,
9,,weapon_pistol,WEAPON_FIVESEVEN_DW,fiveseven_dw,,menu_mp_weapons_five_seven,WEAPON_FIVESEVEN_DW_DESC,,,,,-1,secondary,,,,,
10,,weapon_pistol,WEAPON_JUDGE_DW,judge_dw,,menu_mp_weapons_judge,WEAPON_JUDGE_DW_DESC,,,,,-1,secondary,,,,,
11,,weapon_pistol,WEAPON_BERETTA93R_DW,beretta93r_dw,,menu_mp_weapons_baretta,WEAPON_BERETTA93R_DW_DESC,,,,,-1,secondary,,,,,
12,,weapon_pistol,WEAPON_M1911,m1911,,menu_mp_weapons_1911,WEAPON_M1911_DESC,extclip_1911 silencer_shotgun dw steadyaim,2,3,,1,secondary,,,,1,
13,,weapon_smg,WEAPON_MP7,mp7,,menu_mp_weapons_mp7,WEAPON_MP7_DESC,reflex steadyaim_smg silencer_smg dualclip holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip sf  rf_fast mms ,1,3,class_custom_smg,1,primary,,,,,
14,,weapon_smg,WEAPON_EVOSKORPION,evoskorpion,,menu_mp_weapons_evoskorpion,WEAPON_EVOSKORPION_DESC,reflex steadyaim_smg silencer_smg dualclip holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip_sig sf rf_evo mms ,6,45,class_smg extclip grip,1,primary,,,,1,
15,,weapon_smg,WEAPON_PDW57,pdw57,,menu_mp_weapons_ar57,WEAPON_PDW57_DESC,reflex steadyaim_smg silencer_smg dualclip holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip_sig sf  rf_fast mms ,2,3,,1,primary,,,,1,
16,,weapon_smg,WEAPON_QCW05,qcw05,,menu_mp_weapons_qcw,WEAPON_QCW05_DESC,reflex steadyaim_smg silencer_smg dualclip holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip sf rf_evo mms ,5,36,,1,primary,,,,1,
17,,weapon_smg,WEAPON_INSAS,insas,,menu_mp_weapons_insas,WEAPON_INSAS_DESC,reflex steadyaim_smg silencer_smg dualclip_fastadd holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip sf  rf_fast mms ,4,27,,1,primary,,,,1,
18,,weapon_smg,WEAPON_VECTOR,vector,,menu_mp_weapons_kriss,WEAPON_VECTOR_DESC,reflex steadyaim_smg silencer_smg dualclip holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip sf  rf_fast mms ,3,15,,1,primary,,,,1,
19,,weapon_smg,WEAPON_PEACEKEEPER,peacekeeper,,menu_mp_weapons_pm,WEAPON_PEACEKEEPER_DESC,reflex steadyaim_smg silencer_smg dualclip holo grip_smg fastads_smg fmj extbarrel rangefinder stalker_smg extclip sf  rf_fast mms ,7,3,,1,primary,,dlc1,,,6
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,weapon_assault,WEAPON_XM8,xm8,,menu_mp_weapons_xm8,WEAPON_XM8_DESC,reflex fastads dualclip acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip_sig gl mms,8,48,,1,primary,,,,1,
25,,weapon_assault,WEAPON_SCAR,scar,,menu_mp_weapons_scar,WEAPON_SCAR_DESC,reflex fastads dualclip_slowadd acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip gl mms,6,39,,1,primary,,,,1,
26,,weapon_assault,WEAPON_AN94,an94,,menu_mp_weapons_an94,WEAPON_AN94_DESC,reflex fastads dualclip acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip gl mms,9,54,,1,primary,,,,1,
27,,weapon_assault,WEAPON_SIG556,sig556,,menu_mp_weapons_sig556,WEAPON_SIG556_DESC,reflex fastads dualclip_slowadd acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip_sig gl mms,3,9,,1,primary,,,,1,
28,,weapon_assault,WEAPON_TYPE95,type95,,menu_mp_weapons_type95,WEAPON_TYPE95_DESC,reflex fastads dualclip_fastadd acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip gl mms,2,3,,1,primary,,,,1,
29,,weapon_assault,WEAPON_SA58,sa58,,menu_mp_weapons_sa58,WEAPON_SA58_DESC,reflex fastads dualclip acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip gl mms,4,21,,1,primary,,,,1,
30,,weapon_assault,WEAPON_SARITCH,saritch,,menu_mp_weapons_saritch,WEAPON_SARITCH_DESC,reflex fastads dualclip acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip_sig gl mms,7,45,,1,primary,,,,1,
31,,weapon_assault,WEAPON_HK416,hk416,,menu_mp_weapons_hk416,WEAPON_HK416_DESC,reflex fastads dualclip acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip gl mms,5,30,class_assault reflex dualclip,1,primary,,,,1,
32,,weapon_assault,WEAPON_TAR21,tar21,,menu_mp_weapons_tar21,WEAPON_TAR21_DESC,reflex fastads dualclip_fastadd acog grip stalker rangefinder steadyaim sf holo silencer fmj dualoptic extclip gl mms,1,3,class_custom_assault,1,primary,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,weapon_lmg,WEAPON_MK48,mk48,,menu_mp_weapons_mk48,WEAPON_MK48_DESC,holo grip fmj reflex fastads_lmg rangefinder stalker_lmg acog steadyaim_sniper silencer vzoom_lmg extclip dualoptic rf ir_lmg  ,1,1,class_custom_lmg ,1,primary,,,,,
37,,weapon_lmg,WEAPON_QBB95,qbb95,,menu_mp_weapons_qbb95,WEAPON_QBB95_DESC,holo grip fmj reflex fastads_lmg rangefinder stalker_lmg acog steadyaim_sniper silencer vzoom_lmg extclip_lmg dualoptic rf ir_lmg  ,2,3,,1,primary,,,,1,
38,,weapon_lmg,WEAPON_LSAT,lsat,,menu_mp_weapons_lsat,WEAPON_LSAT_DESC,holo grip fmj reflex fastads_lmg rangefinder stalker_lmg acog steadyaim_sniper silencer vzoom_lmg extclip dualoptic rf ir_lmg  ,3,12,class_lmg rangefinder fastads fmj,1,primary,,,,1,
39,,weapon_lmg,WEAPON_HAMR,hamr,,menu_mp_weapons_hamr,WEAPON_HAMR_DESC,holo grip fmj reflex fastads_lmg rangefinder stalker_lmg acog steadyaim_sniper silencer vzoom_lmg extclip_lmg dualoptic rf ir_lmg  ,4,36,,1,primary,,,,1,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,weapon_sniper,WEAPON_BALLISTA,ballista,,menu_mp_weapons_ballista,WEAPON_BALLISTA_DESC,silencer swayreduc vzoom dualclip fmj acog_sniper extclip_sniper steadyaim_smg ir is,3,42,,1,primary,,,,1,
43,,weapon_sniper,WEAPON_SVU,svu,,menu_mp_weapons_svu,WEAPON_SVU_DESC,silencer_svu swayreduc vzoom dualclip fmj acog_sniper extclip steadyaim_smg ir,1,3,class_custom_sniper ,1,primary,,,,,
44,,weapon_sniper,WEAPON_DSR50,dsr50,,menu_mp_weapons_dsr1,WEAPON_DSR50_DESC,silencer swayreduc vzoom dualclip fmj acog_sniper extclip_sniper steadyaim_smg ir,2,3,,1,primary,,,,1,
